diagnosis,accepted_answers,clue_1,clue_2,clue_3,clue_4,clue_5,clue_6,explanation,high_yield
Peptic ulcer disease with upper GI bleed,PUD bleed; bleeding peptic ulcer; duodenal ulcer bleed; gastric ulcer bleed,"A 63-year-old comes in for fatigue, mild dizziness when standing, and darker stools that he initially blamed on iron tablets.","He has had intermittent upper abdominal discomfort for months, often quieting down after a snack or antacid.",He takes ibuprofen most days for knee pain and recently added low-dose aspirin after a vascular event.,"Rectal exam shows black, sticky stool; hemoglobin is below his baseline and the BUN has risen more than the creatinine.","He has no ascites, splenomegaly, thrombocytopenia, or heavy retching before the bleeding started.",Upper endoscopy localizes an actively oozing crater in the stomach or duodenal bulb.,"Bleeding peptic ulcer disease is the most common upper GI bleed source and is supported by H. pylori or NSAID risk, epigastric pain, melena, and an elevated BUN:Cr ratio from digested blood protein.",H. pylori/NSAIDs; epigastric pain; melena or coffee-ground emesis; BUN:Cr >20; endoscopy diagnostic and therapeutic.
Esophageal varices,variceal bleed; bleeding esophageal varices; portal hypertensive varices,"A 56-year-old is brought in after suddenly filling a basin with blood, with surprisingly little abdominal pain beforehand.",Family says his abdomen has been gradually enlarging and he bruises easily; he has had prior episodes of confusion.,"Exam shows scleral icterus, shifting dullness, palmar erythema, and dilated abdominal wall veins.","Labs show thrombocytopenia, elevated INR, low albumin, and a mildly increased bilirubin.",The bleeding is brisk and painless enough to cause orthostasis within minutes.,Urgent endoscopy would reveal large distal esophageal venous columns under high portal pressure.,"Portal hypertension dilates the esophageal venous plexus, and rupture causes painless, often massive hematemesis in a patient with cirrhosis and coagulopathy.",Cirrhosis/portal HTN; painless large-volume hematemesis; thrombocytopenia; elevated INR; highest-mortality UGIB pattern.
Mallory-Weiss tear,Mallory Weiss tear; GE junction mucosal tear; post-retching hematemesis,"A 34-year-old comes in after a night of severe nausea, initially vomiting only food and gastric contents.",Only after repeated forceful retching did bright red streaks appear in the emesis.,"He has mild epigastric soreness but no rigid abdomen, melena history, or liver disease stigmata.",Hemoglobin is near baseline and vital signs improve with fluids.,"Platelets, INR, and liver chemistries are unremarkable.",Endoscopy would show a linear mucosal tear near the gastroesophageal junction.,A Mallory-Weiss tear is a longitudinal mucosal tear at the gastroesophageal junction caused by sudden increases in intraabdominal pressure from retching.,"Vomiting first, then hematemesis; GE junction linear tear; alcoholism, bulimia, hyperemesis; usually self-limited."
Acute cholecystitis,cholecystitis; acute calculous cholecystitis; cystic duct obstruction,A 42-year-old reports persistent right upper abdominal discomfort that began after a heavy meal and did not fade like prior episodes.,"She has nausea and pain with bumps in the car, but the first description sounds like nonspecific indigestion.",Temperature is 38.2 C and she stops inspiration when the examiner presses beneath the right costal margin.,White count is elevated while bilirubin and transaminases are only mildly abnormal.,Ultrasound shows stones plus gallbladder wall thickening and pericholecystic fluid rather than only a mobile stone.,"The obstructed duct is the cystic duct, causing inflamed gallbladder wall and constant pain.","Acute cholecystitis is inflammation from cystic duct obstruction, producing constant RUQ pain, fever, Murphy sign, and gallbladder inflammatory changes on ultrasound.",Constant RUQ pain; right shoulder/scapula radiation; fever; Murphy sign; gallstones + wall thickening/pericholecystic fluid.
Ascending cholangitis,cholangitis; acute ascending cholangitis; infected choledocholithiasis,A 71-year-old with known gallstones arrives weak and confused after a day of vague upper abdominal pain.,He is febrile with rigors and his family noticed his eyes looked yellow this morning.,Labs show direct hyperbilirubinemia with ALP and GGT much higher than AST and ALT.,Ultrasound shows a dilated common bile duct rather than isolated gallbladder inflammation.,"Blood pressure begins to fall, adding septic physiology to the obstructive picture.","The needed intervention is biliary decompression, usually by ERCP, for infected obstruction.","Ascending cholangitis occurs when an obstructed biliary system becomes infected, causing RUQ pain, fever, jaundice, and sometimes shock or altered mental status.",Charcot triad = fever + RUQ pain + jaundice; Reynold pentad adds hypotension and AMS; ALP/GGT/direct bilirubin high; dilated CBD; ERCP treats.
Acute hepatitis,acute hepatocellular hepatitis; acute liver injury; acute viral hepatitis pattern,"A 24-year-old presents with several days of malaise, poor appetite, nausea, and a heavy feeling under the right ribs.",He later notices tea-colored urine and yellowing of the eyes after what felt like a viral syndrome.,Exam shows tender hepatomegaly without peritoneal signs or focal gallbladder tenderness.,"AST and ALT are both in the thousands, far out of proportion to ALP.",Ultrasound does not show biliary dilation or gallstones causing obstruction.,Serologies or toxin testing would identify hepatocellular injury rather than a ductal process.,"Acute hepatitis causes hepatocellular injury with prodrome, jaundice, RUQ discomfort, and very high transaminases, often far exceeding the cholestatic enzymes.",Viral/drug/toxic exposure; malaise and anorexia; AST/ALT often >1000; jaundice/dark urine; rule out obstruction.
Perforated peptic ulcer,perforated ulcer; perforated duodenal ulcer; perforated gastric ulcer,"A 59-year-old with long-standing dyspepsia develops sudden severe abdominal pain while eating, then lies still because movement worsens it.","He has a history of NSAID use and prior epigastric symptoms, but the current pain is abrupt and maximal.","Exam shows guarding, rebound, and absent bowel sounds rather than isolated RUQ tenderness.",White count is elevated and he appears toxic despite only a short symptom duration.,Upright chest film or CT shows free intraperitoneal air.,A full-thickness gastric or duodenal ulcer has leaked contents into the peritoneal cavity.,"Full-thickness ulcer perforation spills gastric or duodenal contents into the peritoneum, causing sudden severe pain, rigid abdomen, peritonitis, and free intraperitoneal air.",Sudden maximal pain; rigid abdomen; peritonitis; H. pylori/NSAIDs; free air under diaphragm = perforation.
Gastroesophageal reflux disease,GERD; reflux esophagitis; erosive esophagitis,"A 38-year-old comes to family medicine for chronic throat clearing, cough at night, and intermittent chest discomfort after meals.",Cardiac workup has been unrevealing and symptoms worsen when he lies down after late dinners.,"He reports a bitter taste in the mouth and occasional regurgitation, but no true progressive dysphagia.",Symptoms improve with antacids and a short proton pump inhibitor trial.,He is obese and drinks coffee daily; exam is largely normal aside from dental enamel wear.,The mechanism is reflux from an incompetent lower esophageal sphincter causing esophageal irritation.,"GERD results from lower esophageal sphincter dysfunction with acid reflux, producing postprandial and positional burning pain with regurgitation.",Burning substernal/epigastric pain; worse after meals or lying flat; sour regurgitation; antacid/PPI response; alarm symptoms need endoscopy.
Acute pancreatitis,pancreatitis; gallstone pancreatitis; alcoholic pancreatitis,A 44-year-old presents with severe upper abdominal pain and vomiting after a weekend of heavy alcohol intake.,"He cannot get comfortable lying flat and prefers sitting forward, but the initial exam is just epigastric tenderness.",The pain travels straight through to the back and vomiting does not relieve it.,Lipase returns more than three times the upper limit of normal.,"BUN rises during observation, raising concern for more severe disease.",Autodigestion from prematurely activated pancreatic enzymes is driving the presentation.,"Acute pancreatitis is pancreatic enzyme activation causing severe epigastric pain radiating to the back, relief leaning forward, and lipase elevation above three times normal.",Epigastric pain to back; better leaning forward; lipase >3x ULN; gallstones/alcohol; ALT >150 suggests gallstone cause.
Gastritis,acute gastritis; chronic gastritis; H pylori gastritis; autoimmune gastritis,"A 51-year-old has weeks of vague epigastric burning, early satiety, nausea, and bloating without a single dramatic bleeding episode.",Symptoms fluctuate with alcohol and intermittent NSAID use but are not clearly relieved or worsened by meals in a classic ulcer pattern.,Exam shows mild epigastric tenderness and no peritoneal signs.,CBC may show mild anemia; H. pylori testing is considered.,Endoscopy shows diffusely inflamed gastric mucosa without a discrete crater penetrating through the muscularis mucosa.,"If autoimmune, B12 deficiency, achlorhydria, high gastrin, and intrinsic factor antibodies may appear.","Gastritis is gastric mucosal inflammation without a discrete ulcer; H. pylori, NSAIDs, alcohol, and autoimmune parietal cell destruction are common causes.","Epigastric discomfort/nausea; no discrete ulcer on endoscopy; H. pylori/NSAIDs; autoimmune gastritis causes B12 deficiency, achlorhydria, high gastrin."
